Joueur,Equipe,MJ,Min,Pts,Reb,As,Ro,Rd,2P%,3P%,TIRS%,LF%,TS%,St,Bl,To,Fo,Plus_Minus,Eval
Ismael Diallo,Caen U21,20,21.8,9.7,4.3,0.6,1.4,2.8,51.8,19.6,41.8,58.2,48.6,0.8,0.0,2.6,2.4,-1.2,6.4
Noah Boutillien,Evreux U21,22,19.8,7.1,2.1,3.0,0.2,1.9,47.9,28.9,37.4,80.0,46.6,0.6,0.1,1.8,2.0,-4.5,6.4
Joakim Petit,Stade Rochelais U21,14,18.2,6.3,2.9,0.9,1.1,1.8,58.8,29.5,42.3,64.3,52.3,0.9,0.2,1.3,1.5,-2.2,6.4
Mattheo Mawandza,Quimper U21,13,19.4,5.6,2.1,1.3,0.8,1.3,55.1,40.0,52.5,70.0,57.6,1.0,0.2,1.4,1.1,-2.6,6.4
Gabriel-Ange Ahandza Ossene,Caen U21,3,18.3,7.3,4.0,0.0,2.0,2.0,38.9,-,38.9,66.7,47.3,1.0,0.0,1.3,2.7,-2.0,6.0
Saveliy Schukin,Antibes U21,17,15.4,5.2,3.5,0.7,1.5,2.0,58.2,0.0,53.3,61.0,57.0,0.8,0.1,1.8,2.4,3.5,6.0
Arthur Sorin,Challans U21,1,13.0,5.0,1.0,2.0,1.0,0.0,50.0,25.0,33.3,-,41.7,3.0,1.0,2.0,1.0,-5.0,6.0
Robin Jean-Baptiste Merat,Evreux U21,20,15.2,4.0,4.7,0.8,1.6,3.2,45.3,31.2,40.0,14.3,44.8,0.5,0.6,1.6,1.2,-3.7,6.0
Aboubacar Konaté,Aix-Maurienne U21,10,14.4,6.0,2.7,1.0,1.1,1.6,48.3,20.8,35.8,56.7,45.3,1.6,0.1,0.8,0.8,3.5,5.9
Armani Matthew Tsayem Kenne,Challans U21,22,18.5,6.9,3.9,1.1,1.6,2.2,61.7,11.1,49.1,53.1,52.9,0.9,0.0,2.8,2.6,-7.1,5.8
Noam Kimbembe-Croissant,Aix-Maurienne U21,5,12.4,5.4,1.6,1.2,0.6,1.0,72.7,12.5,47.4,72.7,56.6,1.2,0.6,1.6,1.8,4.4,5.8
Martin Moulin,Caen U21,15,15.1,4.1,2.5,1.9,0.5,2.0,42.1,32.0,38.1,50.0,45.4,1.5,0.0,1.3,0.9,-0.7,5.7
Melvin Bowao,Hyères-Toulon U21,22,21.7,7.1,3.5,3.2,1.2,2.3,38.8,21.7,30.5,74.1,38.6,1.4,0.0,3.2,2.4,-0.5,5.6
Malik Bisbrouck,Challans U21,20,16.7,3.8,4.2,0.8,1.8,2.5,49.3,0.0,46.7,38.5,46.5,0.4,0.0,1.3,2.7,-4.5,5.6
Abdourahmane Sene,JA Vichy U21,21,15.3,3.3,4.0,0.5,1.0,3.0,55.8,0.0,51.8,52.2,52.9,0.4,0.1,1.0,1.8,0.2,5.5
Noah Trebot-Vairac,Rouen U21,23,23.1,7.7,2.0,2.7,1.0,1.0,38.2,25.5,30.6,66.0,42.3,1.6,0.0,2.1,1.4,0.2,5.4
Israel Simeon,Pau-Lacq-Orthez U21,22,21.3,4.9,4.1,0.7,1.3,2.8,42.7,22.2,41.0,40.4,42.6,0.6,0.1,1.0,2.4,1.8,5.3
Jules Dunis,Saint-Chamond U21,22,18.8,5.3,2.7,1.4,0.8,1.9,30.8,30.7,30.7,85.7,46.3,0.5,0.2,1.1,2.2,4.0,5.2
Abdoulaye Sy,Pau-Lacq-Orthez U21,22,19.4,4.9,2.4,0.7,0.5,1.9,43.6,42.3,43.2,57.4,53.1,1.5,0.2,1.5,2.2,-1.9,5.2
Elyon Mosengo,Blois U21,13,14.8,4.8,2.1,0.9,0.6,1.5,45.8,28.6,41.9,53.8,46.5,1.0,0.6,1.1,1.2,1.8,5.2
Noah Boukhil-Benamani,Antibes U21,9,17.1,4.2,1.8,2.6,0.2,1.6,63.2,28.6,53.8,66.7,60.7,0.7,0.2,2.6,2.0,3.4,5.1
Younes Bengouta,Aix-Maurienne U21,3,11.7,6.3,2.0,1.0,0.0,2.0,58.3,50.0,57.1,50.0,60.3,0.3,0.0,2.0,0.7,5.0,5.0
Kéziah Sangare,Champagne Basket U21,15,15.5,5.8,1.7,3.2,0.5,1.3,44.6,23.1,37.8,50.0,44.1,1.1,0.2,2.5,2.6,0.3,4.9
Maxime Auclair,JA Vichy U21,11,8.5,3.4,2.5,0.2,1.2,1.3,51.9,-,51.9,81.8,58.1,0.3,0.4,0.4,1.5,-2.8,4.9
Leo-Paul Nivelet,Stade Rochelais U21,18,19.2,7.2,2.4,0.9,0.7,1.7,40.0,26.0,29.5,75.0,43.0,0.8,0.2,1.0,1.4,-1.9,4.8
Thomas Jacquet,Denain U21,19,13.4,5.3,1.9,1.9,0.8,1.1,59.6,25.0,47.2,50.0,52.1,1.1,0.1,2.5,2.3,-3.6,4.8
Sami Chabbi,Stade Rochelais U21,19,17.5,4.7,1.1,1.8,0.4,0.7,55.8,28.9,43.2,72.7,51.8,0.9,0.1,1.2,1.9,-5.5,4.8
Noa Widloecher,AS Alsace U21,10,12.0,4.6,2.4,0.3,1.7,0.7,44.7,50.0,45.0,64.3,49.8,0.6,0.1,0.5,1.7,2.7,4.8
Lucas Dvorak,Quimper U21,13,13.5,4.3,2.5,0.8,0.6,1.8,41.0,36.4,40.0,75.0,49.1,1.0,0.1,1.2,1.4,0.2,4.8
Raphael Tahet,Saint-Chamond U21,23,16.3,3.3,3.1,0.5,1.2,1.9,49.1,42.9,48.3,57.1,53.2,0.3,0.2,0.8,2.6,1.7,4.8
Malik Soumare,Nantes U21,22,16.5,2.6,3.7,0.3,1.7,2.0,48.1,-,48.1,41.2,47.9,0.5,0.3,1.1,1.5,0.6,4.7
Callum Davies,Pau-Lacq-Orthez U21,12,16.5,5.3,2.8,1.1,0.8,2.0,56.7,15.4,44.2,68.6,54.8,0.8,0.0,2.5,1.3,-3.4,4.6
Kyeverson Brom,AS Alsace U21,14,15.9,5.0,1.2,1.4,0.7,0.5,47.4,31.8,41.7,56.5,49.9,1.1,0.0,1.0,1.3,3.0,4.5
Andréa Mico,Blois U21,4,11.8,4.2,2.2,1.2,1.0,1.2,38.5,16.7,31.6,66.7,39.3,1.0,0.2,0.8,1.2,7.0,4.5
Evan Augros,Antibes U21,22,15.4,3.8,3.3,0.2,1.4,2.0,48.6,0.0,47.9,56.0,50.0,0.5,0.5,1.5,2.2,-0.9,4.5
Liam Diop,Nantes U21,17,16.9,3.8,2.6,1.0,0.6,2.1,55.6,13.3,45.0,47.1,47.4,1.2,0.2,1.8,2.5,0.9,4.5
Léonard Barone,Nantes U21,21,20.1,5.3,2.7,1.4,0.7,2.0,37.4,21.4,35.2,69.4,43.9,0.7,0.0,1.8,1.6,0.8,4.4
Noé Jeanne,Rouen U21,18,20.5,5.3,1.7,2.3,0.4,1.3,22.9,31.6,27.4,65.2,46.6,1.1,0.0,1.8,1.4,0.1,4.4
Evan Fouillen,Roanne U21,18,14.8,5.1,1.2,1.9,0.3,0.9,55.4,14.7,40.0,78.9,46.8,1.1,0.1,1.8,1.9,3.2,4.4
Nathan Letresor,Evreux U21,21,13.3,4.5,1.9,0.5,0.6,1.3,70.8,19.0,46.7,33.3,50.7,0.9,0.1,1.0,1.2,-0.7,4.4
Kouaho David Anane,Orléans U21,19,13.3,4.4,1.8,0.4,1.1,0.8,58.2,0.0,57.1,57.6,58.8,0.4,0.2,0.8,1.8,1.8,4.4
Ismail Saati,Caen U21,18,17.9,3.3,4.3,1.1,1.9,2.4,32.5,0.0,30.7,60.0,32.5,0.9,0.3,1.9,2.6,-0.8,4.4
Valentin Delenclos,Champagne Basket U21,20,14.5,4.4,2.5,0.6,0.7,1.8,44.0,34.3,40.0,38.9,46.8,0.6,0.4,1.0,1.8,-3.4,4.3
Driss Didouh,Rouen U21,12,12.1,4.4,1.3,0.8,0.7,0.7,58.1,15.8,42.0,88.9,49.1,0.5,0.1,0.4,1.2,2.1,4.2
Yoaquim Charrier,Orléans U21,21,19.1,4.1,3.7,0.8,0.9,2.8,46.8,18.2,43.2,26.5,42.2,0.6,0.1,1.5,2.2,-2.6,4.2
Alexandre Yviquel,Challans U21,18,15.3,3.9,2.1,0.5,1.2,0.9,46.4,50.0,46.5,37.5,47.0,0.6,0.1,0.5,2.3,-4.1,4.2
Nicolas Delenclos,Champagne Basket U21,6,9.3,3.3,2.3,0.0,0.8,1.5,60.0,0.0,50.0,100.0,53.0,0.2,0.3,0.5,0.7,-5.8,4.2
Cedric Moreton,Roanne U21,19,17.4,3.1,1.6,1.4,1.0,0.6,38.5,25.0,36.7,76.5,43.7,1.1,0.2,1.0,1.7,-2.0,4.2
Evan Devarenne,Stade Rochelais U21,21,16.0,2.5,3.0,0.2,0.8,2.2,47.8,-,47.8,53.3,49.4,0.2,0.7,1.0,1.1,-4.6,4.2
Vincente Couet,Caen U21,22,15.0,3.2,2.5,0.6,1.0,1.5,58.3,11.5,38.7,69.0,47.5,0.8,0.1,1.0,1.9,-4.1,4.1
Billel Machemachi,Blois U21,9,7.6,2.8,2.6,0.2,1.2,1.3,55.0,-,55.0,37.5,53.1,0.2,0.4,0.7,1.9,3.8,4.0
Cheick Diabate,Roanne U21,10,7.6,2.2,1.6,0.4,0.2,1.4,37.5,50.0,40.0,66.7,48.6,1.0,0.4,0.2,1.2,-0.1,4.0
Calvin Hamelrijk,Denain U21,17,19.1,3.6,3.6,0.9,1.8,1.9,53.2,0.0,47.2,42.9,47.5,0.5,0.1,2.2,2.5,-3.8,3.9
Aurelien Pomier,Denain U21,19,13.5,3.3,3.7,0.6,1.1,2.6,40.9,-,40.9,37.5,41.1,0.6,0.1,1.5,2.2,-1.9,3.9
Noa Raballand,Quimper U21,13,12.9,5.6,1.0,1.7,0.6,0.4,45.9,40.7,43.8,40.0,51.7,0.4,0.0,1.6,1.1,0.1,3.6
Eliott Ronque,Aix-Maurienne U21,9,16.4,3.1,1.8,0.6,0.9,0.9,54.2,0.0,48.1,50.0,48.7,0.3,0.3,0.8,2.9,-7.4,3.6
Gregory Da Silva,Stade Rochelais U21,4,17.0,4.8,2.0,0.8,1.0,1.0,60.0,28.6,36.8,50.0,47.8,0.5,0.0,1.2,2.8,-8.0,3.5
Loris Duponq,Rouen U21,23,16.9,4.8,1.7,0.4,0.4,1.3,50.7,31.4,44.1,66.7,51.1,0.3,0.0,1.1,2.3,-2.5,3.5
Gregory Winling,AS Alsace U21,8,12.0,2.2,2.8,0.4,1.4,1.4,36.8,0.0,30.4,50.0,33.9,0.2,1.4,1.0,2.2,-3.1,3.5
Mathis Raffe,Caen U21,7,11.9,3.3,1.6,0.6,0.6,1.0,47.4,0.0,45.0,62.5,48.9,0.9,0.0,0.9,1.0,-0.9,3.4
Lény Cartier,JA Vichy U21,3,9.0,2.7,1.0,0.0,0.3,0.7,33.3,100.0,50.0,75.0,69.4,0.7,0.0,0.0,1.7,-9.7,3.3
Heaven Kabongo,Roanne U21,21,11.7,2.5,2.3,0.4,1.0,1.4,51.4,0.0,50.0,66.7,55.0,0.3,0.1,1.1,1.7,-3.2,3.3
Marceau Thomassin,Champagne Basket U21,21,15.6,4.1,2.3,1.7,0.8,1.5,47.9,19.1,33.7,61.9,41.3,0.5,0.0,2.1,1.0,-6.7,3.2
Maxime Lejal,Blois U21,4,6.5,2.0,0.8,1.0,0.2,0.5,-,66.7,66.7,100.0,103.1,0.2,0.0,0.5,1.0,-0.5,3.2
Lenny Leogane,Champagne Basket U21,22,23.3,6.1,1.7,2.8,0.3,1.4,33.3,23.9,30.4,62.3,39.1,1.0,0.2,3.2,1.8,-11.0,3.1
Nael Pehoua,Quimper U21,7,12.4,4.3,1.3,1.0,0.6,0.7,30.8,35.3,33.3,57.1,45.3,0.4,0.1,0.7,0.3,2.0,3.1
Djenaly Tchicamboud,Orléans U21,16,17.9,3.7,1.9,1.3,0.6,1.3,39.5,18.2,34.7,74.2,47.1,0.9,0.2,2.4,2.1,-2.9,3.1
Marc Wansilabo,Evreux U21,21,12.8,3.0,2.2,0.8,0.6,1.6,46.0,15.4,35.5,54.5,39.6,0.8,0.1,1.2,1.3,-1.7,3.1
Wayan Lessort,Poitiers U21,5,17.2,3.8,2.8,1.4,0.8,2.0,40.0,26.3,29.2,0.0,38.2,0.2,0.0,1.4,2.2,-0.2,3.0
Mathis Broudic,Quimper U21,7,12.0,3.7,0.6,1.3,0.1,0.4,20.0,53.8,44.4,100.0,67.3,0.4,0.0,1.6,1.0,-5.1,3.0
Alix Faivre-Perignon,AS Alsace U21,4,14.5,2.8,2.8,0.2,0.8,2.0,33.3,25.0,30.8,100.0,39.6,1.0,0.0,1.5,1.5,10.5,3.0
Keziah Decaen,Caen U21,22,17.6,2.3,1.4,1.4,0.4,1.0,36.4,18.2,30.3,70.0,36.2,1.0,0.0,0.9,1.2,-4.2,3.0
Elwan Dubois,Stade Rochelais U21,7,11.6,1.9,1.4,0.4,0.4,1.0,40.0,25.0,35.7,50.0,41.2,1.1,0.6,0.9,1.9,-3.4,3.0
Mathieu Mondesir,Evreux U21,1,7.0,0.0,2.0,1.0,0.0,2.0,-,-,-,-,-,0.0,0.0,0.0,3.0,-8.0,3.0
Axel Votte,Orléans U21,16,13.4,5.6,1.0,0.3,0.3,0.7,50.0,28.6,36.4,66.7,47.6,0.6,0.1,0.9,1.3,3.1,2.9
Genuis Kamga,Caen U21,18,12.1,2.1,2.4,0.5,0.8,1.6,34.1,100.0,35.7,66.7,40.3,0.5,0.5,1.4,2.1,-5.4,2.9
Sam Tomasini,Aix-Maurienne U21,4,9.8,1.8,2.8,0.0,0.8,2.0,25.0,100.0,33.3,-,38.9,0.8,0.2,1.2,1.2,-1.0,2.8
Quentin Gonda,Denain U21,11,15.9,5.4,1.9,1.7,0.5,1.4,50.0,22.0,32.3,50.0,40.9,0.5,0.0,2.1,2.5,-4.2,2.7
Killian Gardie,Caen U21,13,12.7,2.7,2.2,0.7,0.7,1.5,52.0,10.5,34.1,75.0,38.2,0.6,0.0,1.2,1.2,-6.4,2.7
