Joueur,Equipe,MJ,Min,Pts,Reb,As,Ro,Rd,2P%,3P%,TIRS%,LF%,TS%,St,Bl,To,Fo,Plus_Minus,Eval
Theo Pichard,Charleville-Méz.,16,31.3,13.8,5.5,7.2,1.8,3.7,66.7,0.0,61.0,71.3,66.8,1.5,0.3,2.1,2.1,1.8,21.5
Alexis Yetna,Tarbes-Lourdes,29,26.1,13.9,9.3,1.5,3.8,5.4,66.5,33.3,57.8,63.2,63.4,1.3,0.6,1.7,2.7,3.8,19.6
Nathan Soliman,Pôle France,25,30.4,15.6,7.0,3.8,1.8,5.3,52.6,30.1,46.4,63.9,55.9,1.9,0.9,1.7,2.0,-6.0,19.1
Collin Turner,Metz BC,21,33.2,19.8,3.9,3.5,1.0,2.9,57.8,39.4,51.0,78.0,61.9,2.3,0.1,2.8,2.3,-4.8,19.0
Dion Wright,Salon-de-Provence,9,31.9,18.4,5.7,2.1,2.7,3.0,59.3,40.0,54.5,71.0,61.6,1.1,0.8,2.2,2.8,0.8,18.8
Sasha Derradji,Saint-Vallier,30,27.3,12.5,6.2,5.8,1.9,4.4,52.4,22.2,48.0,76.1,58.5,2.0,0.1,2.4,1.7,2.3,18.6
Louis Marnette,Toulouse,15,28.2,19.5,4.7,4.1,0.2,4.5,50.0,42.3,44.8,85.2,63.5,0.7,0.1,2.4,2.7,1.3,18.5
Lois Gendrey,Poissy,3,33.7,17.7,2.7,5.0,0.3,2.3,39.1,56.2,46.2,88.9,61.7,1.7,0.0,2.7,0.0,-4.0,17.0
Justinas Jogminas,Saint-Vallier,24,27.5,13.7,6.4,2.8,2.2,4.2,64.0,33.3,59.7,60.0,63.1,1.5,0.3,2.4,2.3,2.2,16.9
Raijon Kelly,Berck Rang du Fliers,27,30.8,14.0,3.0,6.5,0.6,2.5,53.3,33.7,46.5,88.7,56.9,1.1,0.0,2.3,2.0,3.4,16.1
Martins Igbanu,Fos-sur-Mer,8,24.0,14.9,6.0,0.6,2.4,3.6,63.6,40.0,60.0,75.5,68.7,0.5,0.2,1.5,2.8,0.6,16.0
Mitch Pelissier,Chartres,1,22.0,14.0,4.0,3.0,0.0,4.0,33.3,50.0,45.5,-,63.6,2.0,0.0,1.0,0.0,5.0,16.0
Mounir Bernaoui,Fos-sur-Mer,22,25.9,9.9,8.5,1.7,2.6,5.9,51.7,33.3,49.3,83.3,61.1,1.2,0.2,1.6,2.1,7.8,16.0
Kilian Incredule,Fougères,30,29.2,10.7,5.5,5.6,1.5,4.0,44.9,33.3,37.7,89.3,52.3,2.2,0.0,2.1,2.4,3.5,15.9
Domnick Bridgewater,Fos-sur-Mer,28,29.4,20.1,2.1,4.7,0.7,1.5,54.8,30.1,45.1,72.9,56.4,2.5,0.0,3.7,3.1,5.5,15.8
Dennis Ona Embo,Toulouse,29,27.9,13.8,2.1,6.3,0.1,2.1,54.8,42.9,48.4,83.7,64.2,1.2,0.0,2.3,2.2,3.6,15.8
Alexis Thomas,Berck Rang du Fliers,29,27.3,12.3,6.7,2.2,2.3,4.3,61.7,26.9,54.4,68.2,60.5,0.6,0.6,1.7,2.2,-0.3,15.6
Kane Milling,Levallois,29,30.2,15.4,4.3,2.8,1.3,3.0,55.5,34.1,47.6,77.7,58.3,1.1,0.1,1.4,1.9,5.6,15.5
Léonardo De Bruhl,Vitré,30,31.0,15.0,4.5,5.1,0.9,3.6,53.3,32.1,44.0,78.2,54.6,1.3,0.0,2.8,2.9,2.2,15.5
Vincent Sanford,Loon Plage,25,29.6,16.0,4.3,3.4,0.7,3.6,52.2,33.0,45.9,78.1,54.6,1.4,0.3,2.1,2.3,2.6,15.4
Grismay Paumier,Berck Rang du Fliers,27,28.1,13.5,5.6,1.4,1.7,3.9,65.0,0.0,64.7,75.4,69.4,1.0,0.3,2.6,2.3,3.2,15.4
Joe Burton,Orchies,4,26.0,6.8,8.0,3.8,1.8,6.2,55.0,0.0,52.4,55.6,54.1,3.8,0.0,3.5,1.8,-3.0,15.2
Jayson Tchicamboud,Levallois,29,24.2,9.9,5.0,6.4,1.0,4.0,56.4,28.0,46.9,71.8,55.6,1.4,0.0,2.9,2.7,5.7,15.0
Yannick Nkombou,Besançon,30,25.0,9.6,7.9,1.1,2.7,5.2,57.7,-,57.7,66.1,59.6,0.8,1.4,2.0,2.8,0.2,15.0
Mohamed Queta,Lorient,30,22.2,10.3,6.5,1.5,1.8,4.7,59.1,42.2,51.2,80.4,64.1,0.7,1.2,1.5,2.6,3.5,14.9
Fidelis Okereke,Vitré,30,24.8,12.3,5.9,1.7,2.4,3.5,59.7,33.3,59.4,62.1,61.2,1.5,0.5,2.3,3.1,3.8,14.8
Victor Mopsus,Tarbes-Lourdes,29,31.2,9.3,4.3,6.1,1.6,2.7,50.0,34.0,38.9,70.3,54.5,2.0,0.1,1.8,1.9,6.3,14.8
Mathias M'Madi,Orchies,11,27.5,14.5,4.0,2.9,0.7,3.3,56.5,36.1,49.5,78.2,61.9,1.5,0.1,2.4,2.3,2.9,14.7
Thibault Desseignet,Le Havre,30,24.8,12.5,2.4,5.4,0.4,2.0,50.7,37.4,45.4,81.1,62.3,1.9,0.0,2.3,2.3,8.9,14.7
Jules Le Roux,Val de Seine,29,28.8,9.1,6.6,2.3,1.2,5.4,71.5,34.8,61.5,62.5,67.0,1.2,0.4,1.9,3.2,0.4,14.7
Andre Norris,SCABB,21,27.5,16.2,3.6,1.7,0.6,3.0,54.6,45.9,50.0,77.4,67.0,0.9,0.6,2.3,2.5,3.0,14.6
Mouhamed Thiam,Loon Plage,28,22.2,13.3,5.8,1.1,2.3,3.5,58.4,33.3,57.8,65.8,61.7,0.5,1.2,2.0,2.6,-1.8,14.5
Valentin Mukuna,Mulhouse,24,21.8,10.5,6.2,1.7,1.6,4.6,65.7,50.0,65.5,65.2,66.7,0.5,0.5,1.8,2.9,7.3,14.5
Melvyn Da Silva,Charleville-Méz.,27,29.8,16.0,4.0,1.8,0.9,3.0,59.3,35.5,50.5,75.9,59.9,0.7,0.1,1.4,2.3,-2.9,14.4
Junior Ouattara,Angers,25,30.8,14.3,5.3,2.4,0.8,4.6,47.5,41.2,44.6,77.8,59.0,0.6,0.3,1.9,1.9,0.8,14.3
Lathaniel Bastian,Poissy,17,24.7,10.8,7.5,1.1,3.1,4.5,64.1,0.0,63.5,60.0,64.7,1.4,0.8,3.1,2.6,-5.4,14.2
Kiady Razanamahenina,Val de Seine,23,28.8,15.7,2.8,4.6,0.3,2.5,41.8,36.3,39.3,85.2,55.8,0.9,0.0,2.2,1.5,-0.9,14.0
Yanis Harrath,Angers,30,29.5,12.2,2.7,6.0,0.5,2.2,47.6,34.3,42.0,82.1,52.3,1.4,0.0,1.7,1.2,-2.0,13.8
Ismael Cadiau,Boulogne-sur-Mer,30,26.6,8.0,7.6,2.4,2.4,5.2,61.0,25.0,52.8,50.0,55.9,1.2,0.2,1.5,1.7,3.0,13.8
Eric Koumba,Fougères,30,30.7,12.8,2.5,5.1,0.4,2.1,52.1,24.2,45.8,80.9,56.5,1.1,0.6,2.5,1.6,1.5,13.7
Moustafa Haidara,Tours,30,22.6,8.4,8.6,0.9,3.2,5.4,55.9,21.4,53.4,58.1,55.9,0.6,0.6,1.5,2.6,0.3,13.6
Josh Bascoe,Les Sables d'Olonne,19,27.4,15.3,2.3,5.2,0.3,2.0,50.5,37.2,43.8,83.9,57.7,0.7,0.1,2.8,1.8,2.5,13.5
Vladimir Ilic,Mulhouse,29,25.7,12.1,5.1,3.1,1.4,3.7,54.0,32.3,44.4,72.5,54.4,0.8,0.4,1.7,2.1,4.9,13.5
Cameron Valcy,Salon-de-Provence,30,27.1,13.3,4.1,2.0,1.2,3.0,54.6,37.3,47.6,78.2,60.8,1.4,0.3,2.0,2.8,-4.7,13.4
Youssouf Ali Ali,Toulouse,29,30.5,12.6,4.3,2.1,1.7,2.6,61.8,35.8,55.0,68.7,62.0,1.0,0.3,2.0,2.1,2.2,13.4
Tyron Minfir,Metz BC,12,30.9,11.8,8.2,1.1,2.8,5.5,50.5,14.3,42.6,75.7,48.9,1.4,0.2,2.5,1.7,-7.4,13.4
David Hook,Besançon,29,28.2,11.6,4.6,2.0,1.7,2.8,52.9,41.3,46.9,75.6,63.1,1.1,0.2,1.1,3.0,1.8,13.4
Marc Gosselin,Le Havre,22,22.3,11.6,5.6,1.4,1.3,4.3,58.9,36.6,49.2,76.5,60.3,0.8,0.4,1.5,2.5,11.2,13.4
Augustinas Venckus,Besançon,14,30.8,15.0,2.3,3.8,0.4,1.9,52.3,38.1,42.6,85.5,62.4,0.9,0.1,2.4,2.3,-0.1,13.3
Ajare Sanni,Le Havre,13,24.5,16.9,2.0,2.5,0.7,1.3,57.5,34.5,46.2,73.3,57.7,1.5,0.0,1.7,2.2,3.7,13.2
Mahrz Karabi,Fos-sur-Mer,9,17.4,9.0,4.6,1.4,1.3,3.2,84.2,33.3,77.3,84.6,81.5,0.4,0.0,0.9,2.1,3.8,13.2
Sahel Mouhri,Les Sables d'Olonne,30,22.2,13.0,4.5,2.7,1.1,3.4,50.3,35.3,43.0,84.6,56.0,0.7,0.1,1.5,1.5,2.3,13.1
Ousmane Kaba,Tours,30,22.4,12.1,5.0,2.3,2.1,2.9,52.4,29.2,46.5,72.7,54.9,1.0,0.1,1.4,1.8,1.5,13.1
Ludovic Martel,Les Sables d'Olonne,23,20.0,10.7,6.0,0.7,2.1,3.9,59.4,-,59.4,65.2,61.5,0.5,0.7,1.5,1.9,3.9,13.1
Brahim Dohou,Poissy,22,29.9,12.2,4.9,2.6,0.7,4.2,58.3,31.3,46.5,62.8,54.7,1.2,0.8,2.4,3.1,-3.7,13.0
Sidy N'Dir,Loon Plage,13,22.9,14.2,2.0,3.1,0.3,1.7,58.6,38.9,51.9,73.5,64.9,1.3,0.2,2.3,2.2,5.5,12.9
Kareem Thompson,Fos-sur-Mer,26,28.7,11.8,4.4,3.2,1.3,3.2,55.1,29.0,44.9,72.1,52.6,1.2,0.4,2.0,1.6,4.2,12.9
Tidiane Badiane,Angers,27,24.1,11.7,7.1,1.0,2.7,4.4,60.9,-,60.9,67.1,65.0,0.3,0.3,3.1,3.8,1.2,12.9
Kareem Thompson,LYONSO,4,28.5,14.0,4.2,2.5,1.5,2.8,66.7,23.1,44.0,54.5,51.1,2.0,0.5,2.2,1.5,2.5,12.8
Pierre Hannequin,Boulogne-sur-Mer,26,24.3,12.8,2.3,4.2,0.6,1.7,44.9,36.4,41.0,85.1,58.1,1.0,0.1,1.6,2.7,2.7,12.8
Willian Marie-Anais,Fos-sur-Mer,9,19.0,8.0,5.0,1.1,1.6,3.4,66.7,20.0,61.4,73.9,66.5,1.7,0.9,1.3,3.1,7.3,12.8
Patrick Mwamba,Charleville-Méz.,28,29.2,12.1,5.1,1.7,0.9,4.2,51.7,34.8,44.3,71.6,56.0,1.1,0.7,2.0,2.8,-0.5,12.6
Cheick Sekou-Conde,Orchies,11,22.8,11.2,4.7,2.0,1.8,2.9,62.7,0.0,58.8,76.3,63.6,0.7,0.4,2.5,2.7,3.1,12.6
Lionel Colson,Levallois,11,17.9,10.5,5.9,0.8,1.4,4.5,61.4,-,61.4,54.2,61.5,0.7,0.1,1.5,3.3,2.4,12.6
Marc Kwedi,Poissy,29,31.4,9.7,5.9,3.0,1.3,4.6,52.1,29.7,41.2,72.6,53.2,1.0,0.3,2.0,3.3,-5.3,12.5
Kevin Bercy,Le Havre,30,19.5,9.6,5.1,1.2,2.2,2.9,62.0,100.0,62.2,74.0,66.9,0.7,0.2,1.3,2.2,5.1,12.5
Alexander Sobel,Boulogne-sur-Mer,30,21.1,9.4,5.3,1.1,2.6,2.7,58.3,0.0,57.7,64.1,60.3,0.5,1.4,1.4,3.6,3.4,12.5
Yanik Blanc,Orchies,18,26.8,14.8,2.4,3.1,0.5,1.9,60.0,36.2,49.7,78.3,62.0,0.6,0.1,2.6,1.8,1.2,12.4
Warren Racine,Rennes,28,30.1,13.9,2.7,4.5,0.2,2.4,45.7,32.4,38.2,77.2,52.8,1.3,0.0,2.0,1.4,-3.5,12.4
Philip Henry,Chartres,5,22.0,12.8,4.6,0.8,0.6,4.0,54.5,52.6,53.7,76.9,68.5,0.2,0.4,2.0,3.6,-2.6,12.4
Igor Mintogo Ebang,Orchies,30,25.0,15.3,2.8,1.9,0.8,2.1,49.1,40.4,44.9,74.3,59.4,1.5,0.0,2.1,1.2,3.1,12.3
Joffrey Sclear,Rennes,27,28.1,11.9,4.3,2.1,1.0,3.3,63.2,31.6,46.2,74.1,57.4,1.2,0.1,1.7,1.6,-3.4,12.3
Eddy-Roland Bohui-Djedje,Toulouse,30,22.5,10.7,5.3,1.3,1.2,4.0,59.2,32.4,54.8,66.4,61.1,0.5,0.1,1.1,3.1,3.2,12.3
Romain Dardaine,Fougères,30,24.6,10.4,6.3,2.1,1.3,5.0,55.4,32.8,43.4,64.2,54.3,0.8,0.2,1.9,3.6,4.8,12.3
Zyon Dobbs,Rennes,6,23.8,9.7,3.3,2.7,0.7,2.7,59.3,42.9,53.7,80.0,63.9,0.8,0.2,0.8,1.3,0.5,12.3
Marius Chambre,Mulhouse,28,24.8,13.4,2.4,3.9,0.4,1.9,53.4,37.0,40.4,75.8,59.0,1.5,0.0,2.1,3.0,5.3,12.2
Warren Williams,Salon-de-Provence,21,21.0,11.5,5.3,0.6,1.5,3.8,62.1,0.0,61.3,63.4,63.3,0.6,0.7,2.2,3.6,2.7,12.2
Jaraun Burrows,Fos-sur-Mer,12,23.0,10.7,4.1,2.1,1.4,2.7,62.4,0.0,60.2,73.3,63.2,0.7,0.2,1.9,2.8,3.8,12.2
Abdoulaye Sy,Orchies,30,23.3,8.7,6.2,2.4,1.7,4.5,56.5,31.9,47.4,68.4,56.9,0.9,0.4,2.2,2.8,2.6,12.2
Momath Seck,Metz BC,29,25.3,9.9,7.4,0.5,3.2,4.2,53.0,0.0,51.7,72.5,54.3,0.3,0.3,1.8,2.7,-4.2,12.1
Narcisse Kuyo,SCABB,29,20.7,9.3,5.9,0.9,2.2,3.8,63.0,0.0,62.4,43.8,60.2,1.2,0.7,1.9,2.5,-0.4,12.1
Sullivan Hernandez,Vitré,30,30.1,8.6,5.2,2.9,1.4,3.8,55.2,33.6,44.8,66.7,54.3,1.4,0.4,1.8,1.9,1.4,12.1
Mike Nwabuzor,LYONSO,30,27.9,13.1,4.2,4.2,1.2,3.0,36.1,32.4,34.1,83.0,51.3,1.1,0.0,2.8,2.2,1.1,12.0
Charles Minlend,Levallois,13,21.9,10.5,4.0,1.8,1.5,2.5,54.2,40.0,48.1,75.0,59.4,1.2,0.5,1.4,1.5,4.2,12.0
Darhius Nunn,LYONSO,1,8.0,9.0,0.0,3.0,0.0,0.0,75.0,100.0,80.0,-,90.0,1.0,0.0,0.0,1.0,13.0,12.0
Steven Cayol,Le Havre,28,25.2,8.7,4.4,2.5,1.7,2.7,62.6,21.4,55.3,71.3,61.8,1.2,0.5,1.9,1.9,7.0,12.0
Yann Siegwarth,Chartres,28,29.1,13.1,2.8,4.9,0.6,2.2,45.5,27.0,36.7,79.8,49.6,1.2,0.0,2.1,2.5,-1.9,11.8
Baptiste Oger,Angers,29,32.7,10.9,5.1,2.3,1.4,3.7,47.8,34.2,40.1,73.5,53.2,0.6,0.6,1.5,1.8,0.8,11.8
Jaylen Sebree,Boulogne-sur-Mer,20,26.4,13.7,3.9,2.2,0.6,3.4,54.4,39.0,47.2,70.2,58.4,1.1,0.1,3.0,2.0,0.4,11.6
Nelson Cece,SCABB,28,27.2,12.0,4.7,1.9,1.0,3.6,57.9,33.3,46.9,62.0,57.8,0.8,0.5,2.0,2.0,0.6,11.6
Matthias Flosse,Tarbes-Lourdes,14,21.7,9.0,5.6,1.3,2.2,3.4,59.0,42.9,57.6,59.5,60.9,0.8,0.3,1.6,1.4,1.3,11.6
Louis Prolhac,Les Sables d'Olonne,30,29.4,11.7,2.2,5.1,0.3,1.9,54.1,33.8,39.1,87.7,56.0,0.9,0.0,2.3,2.2,4.9,11.5
Vincent Fauche,Loon Plage,30,26.7,6.0,4.0,5.1,0.9,3.0,47.8,31.7,40.2,80.3,55.6,0.8,0.0,1.3,2.1,0.7,11.5
Maydden N'nah-Ndong,Charleville-Méz.,29,27.5,11.3,3.3,3.5,0.8,2.5,53.2,32.8,43.1,84.6,57.5,1.3,0.1,2.7,2.7,-0.1,11.4
Samuel Eyango-Dingo,Loon Plage,30,16.7,9.4,5.9,0.7,2.0,3.9,58.3,26.7,55.6,65.9,61.0,0.7,0.6,2.0,3.6,2.7,11.4
Earvine Bassoumba,Le Havre,29,19.2,8.9,4.4,1.2,1.9,2.5,64.3,-,64.3,74.0,69.0,0.6,0.2,1.2,1.7,5.3,11.4
Moulaye Sissoko,Chartres,19,21.9,9.0,7.1,0.5,2.8,4.2,60.7,50.0,60.6,60.3,62.5,0.3,0.2,2.3,3.0,-4.2,11.3
Sam Mariscal,SCABB,27,25.3,8.8,3.9,2.3,1.0,3.0,64.6,32.0,46.5,62.3,57.1,1.5,0.3,1.1,1.9,2.3,11.3
Jules Gibey,Vitré,30,24.5,15.8,3.5,1.5,0.8,2.7,54.8,30.8,44.1,70.1,55.5,0.9,0.0,2.3,1.8,-2.0,11.2
Gaylor Lobela,Val de Seine,28,23.7,11.3,4.6,1.1,1.5,3.1,67.8,0.0,67.3,61.7,68.3,0.6,0.3,2.5,1.9,-3.9,11.2
Trevon Faulkner,Mulhouse,30,27.4,11.2,2.7,2.2,0.8,1.9,55.5,39.8,47.5,66.0,59.1,1.2,0.0,0.9,1.6,6.4,11.2
Rene Charles Louis-Therese,Toulouse,30,26.6,8.9,4.7,0.9,1.3,3.4,59.0,33.9,46.1,78.4,57.2,1.1,0.6,0.9,2.9,4.3,11.2
Stephan Gauthier,Toulouse,12,28.2,10.9,3.2,4.4,0.7,2.6,61.0,28.1,41.8,64.7,54.4,2.1,0.2,3.5,2.8,4.6,11.1
Daouda Conde,Fougères,28,17.6,10.6,4.2,0.7,1.2,3.0,75.2,-,75.2,54.4,71.9,0.3,0.3,1.8,3.0,0.9,11.1
Kevin Cham,Val de Seine,23,27.7,11.0,4.2,3.9,1.1,3.1,33.7,30.9,32.1,68.1,46.3,2.3,0.1,2.4,3.2,-0.7,11.0
Valdelicio Joaquim,Charleville-Méz.,29,20.3,10.8,5.3,1.1,1.9,3.4,52.1,32.7,48.5,71.4,54.0,0.4,0.1,1.5,2.2,-2.6,11.0
Quentin Ruel,Les Sables d'Olonne,27,22.9,9.1,5.9,1.6,0.9,5.0,49.6,30.3,41.0,63.0,50.0,1.2,0.4,1.6,2.7,3.3,11.0
Moustapha Diop,Tours,30,16.7,8.6,5.4,0.6,1.9,3.5,60.6,0.0,59.9,54.2,60.1,0.5,0.5,1.1,2.6,3.8,11.0
Tom Dary-Sagnes,Fos-sur-Mer,29,24.4,11.9,2.6,2.1,0.6,2.0,53.5,36.8,43.5,86.1,59.8,1.1,0.2,1.6,2.0,2.6,10.9
Hugo Cluysen,Besançon,29,26.1,11.0,3.2,2.3,0.5,2.7,57.7,37.5,48.5,81.9,61.5,0.4,0.2,1.8,2.0,-0.3,10.9
Robin Pluvy,Toulouse,29,19.4,10.7,2.4,4.0,0.5,2.0,56.0,25.5,48.1,74.4,58.0,0.8,0.0,2.1,2.1,0.9,10.9
Jeron Bowers,Angers,30,24.1,9.9,4.4,1.6,0.9,3.5,61.9,38.3,52.3,70.2,63.1,0.6,0.3,2.0,1.5,0.6,10.9
Parfait Njiba,Lorient,30,25.5,8.5,4.2,3.6,1.3,2.9,58.1,26.7,44.0,74.1,51.7,0.9,0.3,1.9,2.2,1.1,10.9
Gedeon Dimoke Osango,Chartres,25,20.5,8.4,6.0,0.7,1.5,4.5,52.2,39.0,48.7,82.7,59.0,0.6,0.2,1.6,1.2,-2.0,10.9
Adrien Sclear,Lorient,30,20.0,7.5,4.9,1.1,2.0,2.9,66.4,18.2,59.2,83.9,65.5,0.5,0.4,1.2,2.7,-0.2,10.9
Kevin Franceschi,Lorient,29,26.6,14.7,2.6,2.6,0.5,2.1,51.9,35.4,43.0,64.3,55.1,0.9,0.0,2.0,1.3,2.3,10.8
Thomas Hanquiez,Orchies,25,28.0,10.0,5.5,1.4,1.7,3.8,55.0,28.8,39.4,62.8,52.0,0.8,0.8,1.6,3.2,-1.5,10.8
Sydney Hawmmond,Poissy,30,20.2,8.7,5.6,0.5,1.9,3.7,61.0,0.0,60.7,57.9,61.5,0.5,0.3,1.4,2.3,-1.9,10.8
Yohan Imboua,Salon-de-Provence,6,20.3,8.0,4.5,0.8,2.0,2.5,67.7,100.0,68.8,37.5,67.6,0.5,0.5,1.0,3.0,1.0,10.8
Theo Leon,Tours,30,21.8,6.8,2.7,6.6,0.8,1.9,41.8,28.9,38.7,71.6,47.6,1.3,0.1,2.3,1.7,2.2,10.8
Eliot Thillier,Rennes,29,27.1,10.7,3.8,2.8,1.0,2.8,51.9,13.5,40.5,73.7,46.6,2.3,0.3,2.5,3.3,-1.8,10.6
Kevin Thalien,Levallois,27,26.8,8.9,2.6,5.6,0.6,2.0,33.3,30.5,31.1,84.1,52.0,0.8,0.0,1.9,1.7,3.6,10.6
Victor Serrano,Angers,16,14.6,8.6,4.4,0.6,1.3,3.1,57.0,0.0,56.3,84.8,63.9,0.2,0.6,0.9,2.0,-1.9,10.6
Raphael Djasrambaye,Toulouse,30,20.6,8.2,5.2,0.4,1.2,4.0,56.3,0.0,55.7,76.7,58.6,0.3,0.5,0.9,2.7,-0.8,10.6
Amadou Sidibe,Saint-Vallier,29,25.0,9.9,5.4,1.4,1.7,3.7,50.5,28.9,46.8,72.8,54.5,0.7,0.2,2.2,2.8,2.2,10.5
Craig Adzeh,Levallois,28,20.8,9.8,5.2,0.8,1.1,4.1,60.8,29.0,55.3,61.3,60.3,0.8,0.6,2.2,3.0,2.4,10.5
Zaion Nebot,Tours,19,23.4,8.0,2.4,5.2,0.9,1.5,51.4,26.9,41.3,63.0,50.7,1.3,0.2,1.6,2.3,4.9,10.5
Theo Bouteille,SCABB,20,25.8,10.6,2.9,3.2,0.6,2.2,46.6,34.4,42.2,71.7,52.1,1.0,0.0,1.4,1.1,-1.0,10.4
Noa Calabre,Poissy,18,23.9,10.4,2.0,4.4,0.4,1.6,55.4,40.6,51.6,53.5,57.8,1.3,0.1,2.2,2.2,-5.5,10.4
Matthys Mahop,Pôle France,26,25.3,10.3,4.1,3.7,0.8,3.3,48.8,17.6,39.7,74.5,48.7,1.3,0.1,2.8,2.7,-8.6,10.4
Patrick Samoura,Mulhouse,25,24.8,8.3,4.5,3.5,1.4,3.1,54.4,15.4,42.2,60.0,49.5,1.0,0.0,1.5,2.2,3.8,10.4
Gaspard Gessat,Orchies,30,21.7,7.8,4.1,0.7,0.8,3.3,60.7,29.9,48.9,69.8,58.0,1.0,1.6,1.3,2.0,6.1,10.4
Camille Jean,Salon-de-Provence,30,26.8,10.1,2.6,4.3,0.7,1.9,42.0,36.7,40.1,69.8,51.3,1.4,0.0,2.1,2.4,-4.9,10.2
Tarik Bruncevic,Levallois,25,21.8,9.8,3.4,1.8,0.9,2.4,60.4,34.1,48.1,78.2,59.9,0.7,0.2,1.4,2.4,5.7,10.2
Hugo Desseignet,Loon Plage,19,22.5,9.2,2.8,4.3,0.6,2.2,48.8,15.4,40.9,66.0,46.7,1.8,0.0,2.1,1.7,1.7,10.1
Cheick Soumaoro,Fougères,30,19.0,8.7,3.9,1.0,1.4,2.5,57.4,20.0,56.3,70.0,60.9,0.7,0.6,1.4,3.1,0.8,10.1
Kevin Bichard,Fougères,30,32.3,13.1,2.5,1.9,0.2,2.3,60.0,35.1,40.9,75.0,57.8,0.9,0.2,1.9,2.9,0.4,10.0
Yael Masdieu Reynaert,Pôle France,23,26.6,11.5,2.1,3.9,0.3,1.8,51.8,24.6,37.9,88.0,51.4,1.0,0.0,2.0,2.3,-4.5,10.0
Solly Stansbury,Levallois,30,24.4,9.7,3.0,1.2,1.3,1.7,47.5,44.2,45.7,83.0,60.9,1.1,0.3,1.0,2.3,8.3,10.0
Mike Joseph,Tarbes-Lourdes,3,20.3,8.3,4.0,2.3,0.7,3.3,61.5,-,61.5,60.0,63.8,0.7,0.7,2.3,3.7,1.3,10.0
Remi Dibo,Poissy,13,25.2,10.4,3.2,2.1,0.5,2.7,61.7,30.0,42.7,100.0,54.8,1.2,0.1,1.9,2.7,-4.2,9.9
David Amarh,Lorient,28,18.6,9.4,4.7,0.8,2.0,2.7,51.5,0.0,50.7,63.7,54.3,1.3,0.1,1.7,2.3,0.4,9.9
Calvin Jubenot,Besançon,24,23.5,8.9,5.7,1.2,1.3,4.4,46.3,29.8,41.7,77.1,48.8,1.0,0.5,2.2,2.9,-1.5,9.9
Theo Lefebvre,Chartres,20,25.6,8.1,2.8,5.6,0.3,2.4,49.2,22.7,38.3,70.0,53.6,1.1,0.0,2.9,2.5,-3.8,9.9
Thomas Klein,Les Sables d'Olonne,28,23.9,7.1,4.2,2.7,2.0,2.2,59.3,19.1,48.9,46.4,51.5,0.9,0.1,1.3,2.4,0.6,9.9
Alexandre Fanchini,Salon-de-Provence,30,25.9,9.5,3.0,3.6,0.5,2.5,37.7,33.8,35.2,84.5,54.7,1.5,0.1,2.6,3.3,-0.2,9.8
Cedric Bah,Le Havre,25,20.2,8.5,4.3,1.8,1.8,2.5,47.7,18.2,44.0,72.0,51.0,1.1,0.8,1.9,2.7,4.3,9.8
Channick Nkoma,Rennes,30,19.3,8.3,6.0,0.3,1.9,4.1,53.7,0.0,53.1,59.2,55.2,0.5,0.4,1.7,3.5,-2.1,9.8
Junior Zero,LYONSO,30,25.0,7.8,4.3,1.3,1.1,3.2,53.3,36.8,43.6,76.6,57.8,0.8,0.2,0.8,2.4,-1.2,9.8
Mario Tonji,Charleville-Méz.,30,17.1,6.6,4.6,0.7,1.1,3.5,74.7,-,74.7,77.8,78.1,0.4,0.3,1.5,3.7,-2.4,9.7
Keziah Forest-Lo,Tours,30,20.1,10.9,2.7,3.0,0.9,1.8,49.2,23.4,40.8,72.2,49.4,1.5,0.4,2.3,2.3,6.8,9.6
Maxime Semelet,LYONSO,30,22.9,9.1,4.5,1.0,2.0,2.5,53.3,28.8,46.9,60.3,52.7,1.0,0.4,1.3,2.7,-0.3,9.6
Sadio Doucoure,Fos-sur-Mer,12,24.6,8.9,3.1,1.2,0.3,2.8,59.5,37.5,49.3,71.1,62.4,1.2,0.8,1.7,2.6,7.1,9.6
Johan Randriamananjara,Rennes,30,29.5,8.2,6.0,3.2,1.4,4.6,42.4,10.0,37.0,67.7,43.5,1.4,0.2,3.3,1.3,-4.7,9.6
Dalil Hadi,Angers,28,25.4,10.6,2.0,4.6,0.5,1.5,43.0,29.1,35.1,81.2,50.8,1.2,0.0,2.5,1.8,-1.8,9.5
Loïc Menuge,Fos-sur-Mer,13,23.2,9.1,4.7,1.5,1.5,3.2,47.7,35.6,40.8,72.2,53.2,0.3,0.2,1.3,2.2,2.9,9.5
Austin Rasolonjatovo,Saint-Vallier,28,17.7,8.7,2.7,2.5,0.9,1.8,59.1,16.3,48.9,70.1,55.9,1.5,0.0,1.7,1.5,-1.4,9.5
Louis Weber,Boulogne-sur-Mer,8,22.0,8.6,2.4,4.1,0.2,2.1,43.8,37.5,41.7,88.5,58.0,0.5,0.0,2.2,2.4,-0.1,9.5
Dolapo Olayinka,Poissy,28,24.9,11.3,3.6,1.2,1.4,2.2,48.4,36.2,43.6,67.1,53.4,0.9,0.4,1.8,2.3,-4.5,9.4
Hugo Kamdem,Rennes,25,18.7,10.7,3.8,1.3,1.2,2.6,59.7,27.9,52.2,76.7,61.0,0.6,0.1,2.9,3.0,-0.8,9.4
