Joueur,Equipe,MJ,Min,Pts,Reb,As,Ro,Rd,2P%,3P%,TIRS%,LF%,TS%,St,Bl,To,Fo,Plus_Minus,Eval
Yanis Pierrot,Pôle France,26,14.3,3.6,0.7,0.8,0.3,0.4,38.7,37.5,37.9,50.0,50.5,0.5,0.0,1.1,2.2,-8.3,2.1
Matheo Le Lann,Mulhouse,27,8.5,2.6,0.7,1.1,0.3,0.4,48.7,21.9,36.6,61.1,44.3,0.4,0.0,0.9,1.3,-0.3,2.0
Allan Mendy,Chartres,1,1.0,2.0,0.0,0.0,0.0,0.0,100.0,-,100.0,-,100.0,0.0,0.0,0.0,0.0,-4.0,2.0
Léo Lambese-Letessier,Val de Seine,1,2.0,2.0,0.0,0.0,0.0,0.0,-,-,-,100.0,113.6,0.0,0.0,0.0,0.0,-2.0,2.0
Noah Philibert,Levallois,2,2.5,2.0,0.0,0.0,0.0,0.0,100.0,0.0,66.7,-,66.7,0.0,0.5,0.0,1.0,2.5,2.0
Adama Kone,Vitré,29,8.5,1.6,1.6,0.3,1.0,0.6,38.0,-,38.0,53.8,40.4,0.2,0.1,0.7,1.1,-2.9,1.8
Victor Maury,Boulogne-sur-Mer,21,8.2,1.6,0.8,1.4,0.1,0.7,55.6,21.7,31.2,69.2,45.1,0.3,0.0,1.0,1.4,0.1,1.8
Baptiste Josse,Rennes,23,5.8,1.1,0.7,0.4,0.5,0.2,57.1,16.7,45.0,85.7,54.2,0.3,0.0,0.2,1.3,-2.7,1.8
Josue Ballo-Debat,Poissy,4,8.5,0.8,1.2,0.8,0.0,1.2,33.3,-,33.3,50.0,38.7,0.2,0.0,0.5,1.2,-0.2,1.8
Romain Meurice Valet,Les Sables d'Olonne,13,5.3,2.4,0.5,0.4,0.0,0.5,66.7,41.2,47.8,33.3,60.5,0.3,0.0,0.7,0.8,0.5,1.7
Patrick Clerence,Berck Rang du Fliers,5,12.4,3.0,1.4,0.2,0.2,1.2,36.8,-,36.8,50.0,37.7,0.0,0.2,0.6,3.0,-0.4,1.6
Ethan Houblon,Saint-Vallier,13,3.7,1.9,0.5,0.0,0.2,0.2,63.2,-,63.2,25.0,60.2,0.1,0.2,0.3,0.2,-0.8,1.5
